No,Sample,PH,TPC (µg GAE/mg honey),TFC (µg QE/mg honey),ABTS (% inhibition),FRAP (µg FeSO4/mg honey),Water content (% weight/weight),Fructose content (% weight/weight),Glucose content (% weight/weight),Remark
1,A itama i,3.1,147.11,40.43,12.43,7.62,29.1,71.2,70.9,
2,A itama ii,3.1,158.81,43.36,15.31,11.41,29.8,70.5,70.2,
3,A itama iii,3,152.83,44.57,15.21,14.63,30.5,69.7,69.4,
4,A itama iv,3.2,203.06,43.97,20.40,20.21,28.8,71.5,71.3,
5,A itama v,3.3,178.09,44.59,17.50,16.19,26.1,74.3,74.1,
6,A thoracica i,3,156.04,35.08,11.57,8.57,30,70.6,70.4,
7,A thoracica ii,2.9,149.63,38.56,12.25,9.63,30.1,70.1,69.8,
8,A thoracica iii,2.9,139.86,37.25,11.28,7.02,30.9,69.3,69,
9,A thoracica iv,3.1,164.17,39.59,13.38,11.23,30,70.2,70,
10,A thoracica v,3.1,148.37,37.52,12.61,11.43,30.2,70,69.8,
11,B itama i,3,164.75,58.27,12.95,21.23,28.3,72.4,72.1,
12,B itama ii,3,156.89,53.73,13.86,13.82,26.8,73.6,73.4,
13,B itama iii,2.9,149.51,45.23,11.42,8.97,28,72.3,72.1,
14,B itama iv,3.3,159.21,45.95,14.21,13.78,28.9,71.3,71.1,
15,B itama v,3.3,189.66,52.88,16.34,18.92,26.1,74.3,74.1,
16,B thoracica i,3.3,139.3,32.26,11.42,8.20,26.3,72.4,73.7,
17,B thoracica ii,3.2,141.62,32.48,12.57,6.43,25.6,73.6,74.5,
18,B thoracica iii,3.2,134.36,31.90,10.66,7.04,27.6,72.3,72.4,
19,B thoracica iv,3.4,148.45,32.67,12.94,11.83,27.1,73.2,73.1,
20,B thoracica v,3.4,154.4,32.81,12.86,11.51,25.2,75.2,75,
21,C itama i,2.9,146.29,36.66,13.40,9.44,29.6,70.7,70.4,
22,C itama ii,3,125.63,36.84,11.81,6.83,29.9,70.3,70.1,
23,C itama iii,3,135.92,36.59,12.71,14.73,30.2,70.1,69.4,
24,C itama iv,3.3,177.69,44.05,17.94,17.79,30.1,70.1,69.9,
25,C itama v,3.2,176.75,47.01,19.82,23.97,30.3,69.9,69.8,
26,C thoracica i,3.3,140.97,42.63,11.73,18.43,28.3,72.1,71.8,
27,C thoracica ii,3.3,141.98,43.99,12.54,18.47,28.9,71.4,71.1,
28,C thoracica iii,3.4,141.89,45.52,11.46,20.26,29.6,70.6,70.4,
